vehicleId,driverId,timestamp,engineState,speed_mph,odometer_miles,fuelLevel_pct,fuelTemperature_C,engineOilPressure_psi,engineHours_hr,longitudinalAcceleration_ms2,brakePosition_pct,fuelRate_L_per_hr,idleFuelConsumed_L,fuelIntegrated_L,totalFuelConsumedLiters,fuel_drop_pct,distance_miles,miles_per_fuel_pct,is_idle,fuel_consumed_idle_L,fuel_consumed_moving_L,acceleration_abs,brake_intensity,driver_aggressiveness,engine_on_duration_sec,speed_bucket,fuel_rate_eff,refill_event,fuel_cycle,time_since_refill_sec,fuel_pct_remaining,fuel_burn_pct_per_sec,fuel_burn_pct_per_sec_smooth,fuel_time_to_empty_sec,fuel_time_to_empty_min,fuel_time_to_empty_hr,fuel_theft_flag,expected_fuel_drop,sudden_drop_trip_flag,fuel_efficiency_miles_per_pct,low_efficiency_flag,idle_fuel_flag,fuel_sensor_tamper_flag,fuel_leak_flag,consumption_rate_L_per_sec,fuel_time_to_empty_sec_v2,fuel_time_to_empty_hr_v2,fuel_per_mile,driver_fuel_efficiency_score,fuel_overheat_flag,fuel_level_alert,fuel_time_to_empty_alert
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 00:00:00,ON,43.84,43.84,82.37,39.6,49.4,1.0,-0.26,17,20.65,0.0,2.63,555910.6100000002,-0.0,0.0,0.0,0,0.0,20.65,0.26,0.17,0.23299999999999998,3600,1.0,25.46145,0,0,0,82.37,-0.0,-0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.005736111111111111,14359.903147699759,3.9888619854721554,0.0,0.0,0,LOW,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 01:00:00,ON,48.82,92.66,79.44,40.2,54.5,2.0,-0.25,25,22.15,0.0,5.56,555910.6100000002,2.930000000000007,48.81999999999999,16.662116040955592,0,0.0,22.15,0.25,0.25,0.25,3600,1.0,27.6875,0,0,3600,79.44,0.0008138888888888908,0.0004069444444444454,195210.92150170603,3253.515358361767,54.22525597269612,0,2.7542096027348157,0,16.662116040955592,0,0,0,0,0.006152777777777777,12911.241534988714,3.5864559819413095,0.060016386726751476,0.5858895705521472,0,LOW,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 02:00:00,ON,53.65,146.31,76.22,40.0,52.9,3.0,-0.1,24,23.6,0.0,8.78,555910.6100000002,3.219999999999999,53.650000000000006,16.66149068322982,0,0.0,23.6,0.1,0.24,0.142,3600,1.0,26.9512,0,0,7200,76.22,0.0008944444444444441,0.000569444444444445,133849.75609756084,2230.829268292681,37.18048780487801,0,3.0266969517968643,0,16.66149068322982,0,0,0,0,0.006555555555555556,11626.779661016948,3.2296610169491524,0.06001863932898413,0.593558282208589,0,LOW,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 03:00:00,ON,48.35,194.66,73.32,40.8,47.6,4.0,0.12,48,22.01,0.0,11.68,555910.6100000002,2.9000000000000057,48.349999999999994,16.672413793103413,0,0.0,22.01,0.12,0.48,0.22799999999999998,3600,1.0,27.028280000000002,0,0,10800,73.32,0.0008055555555555572,0.000628472222222223,116663.86740331477,1944.397790055246,32.406629834254105,0,2.7276942706314697,0,16.672413793103413,0,0,0,0,0.006113888888888889,11992.36710586097,3.3312130849613806,0.05997931747673228,0.48773006134969327,0,LOW,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 04:00:00,ON,46.52,241.18,70.53,40.7,51.0,5.0,0.17,47,21.46,0.0,14.47,555910.6100000002,2.789999999999992,46.52000000000001,16.67383512544808,0,0.0,21.46,0.17,0.47,0.26,3600,1.0,27.0396,0,0,14400,70.53,0.0007749999999999978,0.000657777777777778,107224.66216216213,1787.0777027027023,29.78462837837837,0,2.62445372222908,0,16.67383512544808,0,0,0,0,0.0059611111111111115,11831.686859273066,3.286579683131407,0.059974204643164046,0.4662576687116564,0,LOW,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 05:00:00,ON,42.2,283.38,68.0,41.0,46.8,6.0,-0.17,29,20.16,0.0,17.0,555910.6100000002,2.530000000000001,42.19999999999999,16.67984189723319,0,0.0,20.16,0.17,0.29,0.206,3600,1.0,24.31296,0,0,18000,68.0,0.0007027777777777781,0.000665277777777778,102212.94363256783,1703.5490605427972,28.39248434237995,0,2.380738329279173,0,16.67984189723319,0,0,0,0,0.0056,12142.857142857143,3.373015873015873,0.05995260663507113,0.4110429447852761,0,LOW,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 06:00:00,ON,42.89,326.27,65.42,41.8,47.4,7.0,0.48,10,20.37,0.0,19.58,555910.6100000002,2.5799999999999983,42.889999999999986,16.624031007751945,0,0.0,20.37,0.48,0.1,0.366,3600,1.0,27.825420000000005,0,0,21600,65.42,0.0007166666666666662,0.0006726190476190478,97261.59292035397,1621.0265486725662,27.01710914454277,0,2.419665093430894,0,16.624031007751945,0,0,0,0,0.005658333333333334,11561.708394698086,3.2115856651939128,0.060153882023781746,0.8328220858895705,0,LOW,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 07:00:00,ON,48.88,375.16,62.49,41.8,47.3,8.0,0.11,6,22.16,0.0,22.51,555910.6100000002,2.9299999999999997,48.89000000000004,16.686006825938584,0,0.0,22.16,0.11,0.06,0.095,3600,1.0,24.2652,0,0,25200,62.49,0.0008138888888888888,0.0007888888888888891,79212.67605633801,1320.2112676056336,22.003521126760557,0,2.7581586947502106,0,16.686006825938584,0,0,0,0,0.006155555555555556,10151.805054151624,2.819945848375451,0.05993045612599708,0.3512269938650307,0,LOW,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 08:00:00,ON,50.94,426.1,59.43,41.8,51.4,9.0,-0.1,21,22.78,0.0,25.57,555910.6100000002,3.0600000000000023,50.94,16.6470588235294,0,0.0,22.78,0.1,0.21,0.133,3600,1.0,25.80974,0,0,28800,59.43,0.0008500000000000006,0.0007940476190476189,74844.37781109447,1247.4062968515746,20.790104947526242,0,2.8738106752009736,0,16.6470588235294,0,0,0,0,0.0063277777777777785,9391.92273924495,2.608867427568042,0.06007067137809192,0.700920245398773,0,LOW,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 09:00:00,ON,51.46,477.56,56.35,42.3,52.4,10.0,-0.13,16,22.94,0.0,28.65,555910.6100000002,3.0799999999999983,51.45999999999998,16.70779220779221,0,0.0,22.94,0.13,0.16,0.139,3600,1.0,26.12866,0,0,32400,56.35,0.000855555555555555,0.0007884920634920633,71465.52591847007,1191.092098641168,19.8515349773528,0,2.9031467873153134,0,16.70779220779221,0,0,0,0,0.006372222222222223,8843.068875326939,2.4564080209241497,0.05985231247570928,0.22085889570552147,0,LOW,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 10:00:00,ON,49.85,527.41,53.36,42.6,54.4,11.0,0.04,33,22.45,0.0,31.64,555910.6100000002,2.990000000000002,49.849999999999966,16.672240802675564,0,0.0,22.45,0.04,0.33,0.127,3600,1.0,25.30115,0,0,36000,53.36,0.0008305555555555561,0.0007920634920634918,67368.33667334671,1122.8056112224451,18.71342685370742,0,2.8123176709612965,0,16.672240802675564,0,0,0,0,0.006236111111111111,8556.614699331849,2.3768374164810693,0.059979939819458455,0.49079754601226994,0,LOW,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 11:00:00,ON,54.83,582.25,50.07,43.2,52.3,12.0,-0.1,44,23.95,0.0,34.93,555910.6100000002,3.289999999999999,54.84000000000003,16.668693009118556,0,0.0,23.95,0.1,0.44,0.202,3600,1.0,28.787899999999997,0,0,39600,50.07,0.0009138888888888887,0.000811904761904762,61669.79472140762,1027.8299120234603,17.13049853372434,0,3.0938315160585295,0,16.668693009118556,0,0,0,0,0.006652777777777777,7526.1795407098125,2.090605427974948,0.05999270605397515,0.5184049079754601,0,LOW,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 12:00:00,ON,49.15,631.39,47.12,42.8,48.4,13.0,0.09,36,22.24,0.0,37.88,555910.6100000002,2.950000000000003,49.139999999999986,16.657627118644047,0,0.0,22.24,0.09,0.36,0.17099999999999999,3600,1.0,26.043039999999998,0,0,43200,47.12,0.0008194444444444452,0.0008285714285714287,56868.96551724136,947.8160919540227,15.79693486590038,0,2.772262594805179,0,16.657627118644047,0,0,0,0,0.006177777777777778,7627.338129496403,2.118705035971223,0.060032560032560106,0.6349693251533742,0,LOW,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 13:00:00,ON,57.03,688.42,43.69,43.2,50.8,14.0,0.44,5,24.61,0.0,41.31,555910.6100000002,3.4299999999999997,57.02999999999997,16.626822157434397,0,0.0,24.61,0.44,0.05,0.323,3600,1.0,32.55903,0,0,46800,43.69,0.0009527777777777777,0.0008623015873015875,50666.72802577081,844.4454670961802,14.07409111826967,0,3.217381680540076,0,16.626822157434397,0,0,0,0,0.006836111111111111,6391.0605444941075,1.7752945956928077,0.06014378397334739,0.8220858895705522,0,MEDIUM,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 14:00:00,ON,52.21,740.63,40.56,43.2,50.2,15.0,-0.21,26,23.16,0.0,44.44,555910.6100000002,3.1299999999999955,52.210000000000036,16.680511182108663,0,0.0,23.16,0.21,0.26,0.22499999999999998,3600,1.0,28.371000000000002,0,0,50400,40.56,0.0008694444444444432,0.0008702380952380953,46607.93433652531,776.7989056087551,12.946648426812585,0,2.9454584874802308,0,16.680511182108663,0,0,0,0,0.0064333333333333334,6304.663212435234,1.751295336787565,0.05995020111089817,0.4049079754601227,0,MEDIUM,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 15:00:00,ON,54.44,795.08,37.3,44.0,51.8,16.0,0.03,15,23.83,0.0,47.7,555910.6100000002,3.260000000000005,54.450000000000045,16.70245398773005,0,0.0,23.83,0.03,0.15,0.066,3600,1.0,25.40278,0,0,54000,37.3,0.000905555555555557,0.0008781746031746033,42474.46904654315,707.9078174423859,11.798463624039764,0,3.071829431972775,0,16.70245398773005,0,0,0,0,0.006619444444444444,5634.913973982375,1.565253881661771,0.05987144168962355,0.24386503067484663,0,MEDIUM,LOW
VEH_003,68b89b2d4f65cd554d7512ab,2025-11-01 16:00:00,ON,53.53,848.61,34.08,43.8,51.7,17.0,-0.19,13,23.56,0.0,50.92,555910.6100000002,3.219999999999999,53.52999999999997,16.62422360248447,0,0.0,23.56,0.19,0.13,0.172,3600,1.0,27.612319999999997,0,0,57600,34.08,0.0008944444444444441,0.000883730158730159,38563.8078132016,642.7301302200267,10.712168837000444,0,3.019927079770476,0,16.62422360248447,0,0,0,0,0.006544444444444444,5207.470288624788,1.4465195246179967,0.060153185129833746,0.8312883435582822,0,MEDIUM,MEDIUM
